gtime,period,x,y,result
0.7333333333333343,1,-0.4847222222222222,0,missed
1.4166666666666643,1,-0.47048611111111116,1,made
3.066666666666663,1,-0.43611111111111117,1,made
6.100000000000001,1,-0.3729166666666666,1,made
8.700000000000003,1,-0.3187499999999999,1,made
9.68333333333333,1,-0.29826388888888894,1,made
11.333333333333336,1,-0.26388888888888884,1,made
11.883333333333333,1,-0.25243055555555555,1,made
16.416666666666668,2,-0.15798611111111108,0,missed
16.583333333333332,2,-0.15451388888888892,0,missed
17.633333333333333,2,-0.1326388888888889,1,made
21.4,2,-0.054166666666666696,1,made
21.816666666666666,2,-0.045486111111111116,1,made
22.8,2,-0.024999999999999984,0,missed
23.516666666666666,2,-0.010069444444444464,1,made
23.933333333333334,2,-0.001388888888888884,0,missed
28.083333333333332,3,0.08506944444444442,0,missed
30.5,3,0.13541666666666666,0,missed
33.85,3,0.20520833333333333,0,missed
35.15,3,0.23229166666666667,0,missed
0.5499999999999972,1,-0.4885416666666667,0,missed
1.5166666666666657,1,-0.4684027777777778,1,made
2.8999999999999986,1,-0.4395833333333334,0,missed
3.316666666666663,1,-0.43090277777777786,1,made
4.433333333333337,1,-0.40763888888888883,0,missed
6.549999999999997,1,-0.3635416666666667,1,made
8.600000000000001,1,-0.3208333333333333,1,made
16.2,2,-0.1625,1,made
20.333333333333332,2,-0.07638888888888891,1,made
21.78333333333333,2,-0.04618055555555559,0,missed
22.6,2,-0.029166666666666636,0,missed
23.766666666666666,2,-0.004861111111111131,0,missed
25.983333333333334,3,0.041319444444444464,1,made
26.95,3,0.061458333333333316,0,missed
28.28333333333333,3,0.08923611111111107,1,made
30.066666666666666,3,0.12638888888888888,0,missed
31.516666666666666,3,0.1565972222222222,1,made
33,3,0.1875,1,made
33.45,3,0.196875,1,made
34.7,3,0.22291666666666665,1,made
35.46666666666667,3,0.2388888888888889,0,missed
35.983333333333334,3,0.24965277777777775,0,missed
40.81666666666666,4,0.3503472222222222,0,missed
43.416666666666664,4,0.4045138888888889,0,missed
43.46666666666667,4,0.4055555555555556,1,made
43.93333333333334,4,0.4152777777777778,0,missed
46.233333333333334,4,0.46319444444444446,0,missed
1.4833333333333343,1,-0.4690972222222222,0,missed
1.8999999999999986,1,-0.4604166666666667,1,made
2.866666666666667,1,-0.44027777777777777,1,made
4.600000000000001,1,-0.4041666666666666,1,made
5.383333333333333,1,-0.38784722222222223,1,made
5.833333333333336,1,-0.37847222222222215,1,made
6.783333333333331,1,-0.3586805555555556,0,missed
6.983333333333334,1,-0.35451388888888885,1,made
7.899999999999999,1,-0.3354166666666667,0,missed
8.866666666666667,1,-0.31527777777777777,1,made
9.766666666666666,1,-0.2965277777777778,1,made
10.416666666666664,1,-0.28298611111111116,0,missed
11.25,1,-0.265625,1,made
11.450000000000003,1,-0.2614583333333333,0,missed
16.366666666666667,2,-0.15902777777777777,0,missed
16.53333333333333,2,-0.15555555555555559,0,missed
17.616666666666667,2,-0.1329861111111111,1,made
20.566666666666666,2,-0.07152777777777779,0,missed
22.633333333333333,2,-0.028472222222222232,1,made
23.416666666666668,2,-0.012152777777777754,1,made
23.933333333333334,2,-0.001388888888888884,0,missed
25.71666666666667,3,0.03576388888888893,1,made
27.433333333333334,3,0.07152777777777779,1,made
28.35,3,0.09062500000000002,0,missed
29.53333333333333,3,0.11527777777777774,0,missed
29.633333333333333,3,0.1173611111111111,0,missed
30.75,3,0.140625,0,missed
31.4,3,0.15416666666666665,0,missed
33,3,0.1875,0,missed
34.88333333333333,3,0.2267361111111111,0,missed
38.86666666666667,4,0.30972222222222223,0,missed
39.016666666666666,4,0.3128472222222222,1,made
39.71666666666667,4,0.32743055555555556,1,made
40.06666666666666,4,0.3347222222222222,1,made
40.68333333333334,4,0.34756944444444443,0,missed
42.333333333333336,4,0.3819444444444444,0,missed
43.75,4,0.4114583333333333,1,made
44.18333333333333,4,0.4204861111111111,1,made
44.75,4,0.4322916666666667,1,made
45.35,4,0.4447916666666667,0,missed
45.9,4,0.45625,0,missed
46.65,4,0.471875,1,made
47.25,4,0.484375,0,missed
0.7833333333333314,1,-0.4836805555555556,0,missed
2.1000000000000014,1,-0.45625,1,made
4.916666666666664,1,-0.3975694444444445,1,made
7.316666666666663,1,-0.34756944444444454,1,made
10.700000000000003,1,-0.2770833333333333,1,made
11.083333333333336,1,-0.26909722222222215,1,made
16.5,2,-0.15625,0,missed
19.233333333333334,2,-0.09930555555555554,0,missed
22.4,2,-0.03333333333333336,0,missed
22.816666666666666,2,-0.024652777777777784,0,missed
23.516666666666666,2,-0.010069444444444464,0,missed
25.46666666666667,3,0.030555555555555596,1,made
27.166666666666664,3,0.06597222222222217,1,made
31.166666666666668,3,0.14930555555555558,0,missed
31.96666666666667,3,0.16597222222222227,0,missed
34.38333333333333,3,0.21631944444444443,1,made
35.1,3,0.23124999999999998,1,made
